UUID_FORM,CAREER,TIME_OF_ARRIVAL,TIME_OF_DEPARTURE,SEX,SMOKER,ELOQUENCE_LEVEL,IMPORTANCE_SMOKER,IMPORTANCE_ELOQUENCE,IMPORTANCE_MUSIC,IMPORTANCE_SEX,TRANSPORT,MUSIC,CARPOOL,CARPOOL_CAR,CARPOOL_NO_CAR
52,Ingeniería Informática,9:00:00,15:00:00,Hombre,No,Medio,7,4,1,1,Car,NO_PREF,Si,Si,
53,Ingeniería Industrial,13:20:00,17:45:00,Hombre,No,Medio,5,8,3,1,No Car,"NO_PREF, TECHNO, ELECTRONIC",Si,,Si
54,Ciencias Contables,18:30:00,22:10:00,Mujer,No,Medio,1,1,1,1,Car,TRAP,Si,Si,
55,Ingeniería Civil,7:15:00,11:00:00,Mujer,No,Medio,3,1,1,2,Car,POP,Si,Si,
56,Ingeniería Civil,13:00:00,17:30:00,Mujer,No,Extrovertido,1,5,1,1,No Car,"POP, ELECTRONIC, ROCK, REGGAE, CUMBIA, REGGAETON, TRAP",Si,,Si
57,Ingeniería Civil,7:30:00,14:00:00,Mujer,No,Extrovertido,10,6,6,1,Car,REGGAETON,Si,Si,
58,Ingeniería Civil,13:00:00,17:30:00,Mujer,No,Medio,1,1,1,1,No Car,NO_PREF,Si,,Si
59,Ingeniería Civil,10:50:00,19:30:00,Mujer,No,Medio,1,1,1,1,Car,NO_PREF,Si,Si,
60,Ingeniería Civil,13:00:00,17:00:00,Hombre,No,Medio,1,1,1,1,No Car,NO_PREF,Si,,Si
61,Ingeniería Civil,12:00:00,17:00:00,Mujer,No,Medio,10,1,5,1,No Car,ROCK,No,,No
62,Medicina,9:00:00,15:00:00,Hombre,No,Medio,5,3,6,1,Car,ROCK,Si,Si,
63,Ingeniería Civil,9:00:00,19:00:00,Hombre,Si,Extrovertido,1,5,1,1,Car,NO_PREF,No,No,
64,Comercio Internacional,18:30:00,22:00:00,Mujer,No,Extrovertido,1,1,1,1,Car,NO_PREF,Si,Si,
65,Diseño Industrial,17:40:00,22:00:00,Mujer,No,Introvertido,6,5,10,9,Car,POP,Si,Si,
67,Arquitectura,9:00:00,17:00:00,Mujer,No,Medio,9,1,1,1,Car,NO_PREF,Si,Si,
68,Ingeniería Civil,13:00:00,19:00:00,Hombre,Si,Extrovertido,1,1,1,1,Car,NO_PREF,Si,Si,
69,Arquitectura,13:00:00,18:00:00,Mujer,No,Medio,6,6,2,5,Car,NO_PREF,Si,Si,
70,Análisis de Sistema,18:15:00,22:00:00,Mujer,No,Medio,1,1,1,1,Car,NO_PREF,Si,Si,
71,Administración de Empresas,19:00:00,22:00:00,Hombre,Si,Extrovertido,5,1,1,1,Car,NO_PREF,Si,Si,
72,Arquitectura,13:00:00,18:30:00,Mujer,No,Medio,1,1,10,1,No Car,ROCK,Si,,Si
74,Ingeniería Industrial,7:30:00,18:30:00,Mujer,No,Medio,8,1,1,1,Car,NO_PREF,Si,Si,
75,Arquitectura,13:00:00,18:00:00,Mujer,No,Medio,4,5,2,5,Car,"NO_PREF, POP, TECHNO, ELECTRONIC, RAP",Si,Si,
76,Arquitectura,13:00:00,18:00:00,Mujer,No,Medio,8,1,1,1,No Car,NO_PREF,Si,,Si
77,Administración de Empresas,18:55:00,22:00:00,Hombre,No,Extrovertido,7,6,5,1,Car,"ROCK, CUMBIA, REGGAETON",Si,Si,
78,Ciencias Contables,18:30:00,22:30:00,Mujer,No,Medio,3,1,1,2,No Car,NO_PREF,Si,,Si
79,Comercio Internacional,18:30:00,22:15:00,Mujer,No,Extrovertido,10,1,1,1,No Car,REGGAETON,Si,,Si
80,Ingeniería Industrial,7:30:00,16:00:00,Mujer,No,Medio,1,5,3,8,Car,NO_PREF,Si,Si,
81,Ciencias Contables,18:20:00,22:00:00,Mujer,No,Medio,7,4,1,1,Car,NO_PREF,Si,Si,
82,Comercio Internacional,19:00:00,22:00:00,Hombre,No,Medio,3,4,7,1,Car,"POP, ROCK, METAL, RAP, REGGAETON",Si,Si,
83,Fonoaudiología,8:00:00,12:00:00,Mujer,No,Medio,8,1,1,1,Car,"NO_PREF, POP",Si,Si,
85,Ingeniería Electrónica,13:00:00,18:00:00,Mujer,No,Extrovertido,3,8,1,1,No Car,NO_PREF,Si,,Si
86,Ingeniería Civil,9:00:00,18:00:00,Hombre,Si,Extrovertido,1,1,1,1,No Car,NO_PREF,Si,,Si
87,Ingeniería Informática,9:00:00,15:30:00,Hombre,No,Medio,8,3,6,3,Car,"POP, ROCK, METAL",Si,Si,
88,Ingeniería Civil,13:00:00,17:00:00,Hombre,No,Introvertido,6,2,3,1,Car,"TECHNO, CUMBIA, REGGAETON",Si,Si,
89,Ciencias Contables,18:30:00,22:00:00,Mujer,No,Extrovertido,1,5,3,1,Car,NO_PREF,Si,Si,
91,Medicina,7:00:00,14:00:00,Hombre,No,Extrovertido,10,10,5,1,Car,ROCK,Si,Si,
93,Ingeniería Civil,9:00:00,17:00:00,Hombre,No,Medio,3,1,1,1,Car,"POP, TECHNO, ELECTRONIC, ROCK, RAP, REGGAE, CUMBIA, TRAP",Si,Si,
94,Ingeniería Civil,9:00:00,16:00:00,Hombre,Si,Extrovertido,1,8,9,1,Car,"ROCK, METAL, REGGAE",Si,Si,
95,Ingeniería Industrial,13:00:00,20:00:00,Hombre,Si,Extrovertido,1,1,1,1,No Car,"POP, TECHNO, ELECTRONIC, ROCK, METAL, RAP",Si,,Si
96,Ingeniería Electrónica,13:00:00,19:00:00,Hombre,No,Extrovertido,10,1,5,1,Car,"POP, ROCK, METAL",Si,Si,
97,Administración de Empresas,19:00:00,22:00:00,Hombre,No,Medio,10,3,5,1,Car,"ELECTRONIC, REGGAETON",Si,Si,
98,Comercio Internacional,18:30:00,22:00:00,Mujer,No,Medio,2,2,1,2,No Car,NO_PREF,Si,,Si
99,Economía,18:30:00,22:00:00,Hombre,No,Medio,5,1,1,1,Car,NO_PREF,Si,Si,
100,Marketing,19:00:00,21:30:00,Hombre,Si,Extrovertido,4,7,6,3,Car,"POP, TECHNO, ELECTRONIC, CUMBIA, REGGAETON, TRAP, FUNK",Si,Si,
103,Economía,18:30:00,22:30:00,Hombre,No,Medio,1,10,1,1,Car,"POP, ROCK, RAP, REGGAE, REGGAETON, TRAP",Si,Si,
104,Ingeniería Civil,15:00:00,18:30:00,Mujer,No,Extrovertido,7,5,6,9,No Car,"TECHNO, ROCK, METAL",Si,,Si
106,Arquitectura,19:11:00,20:11:00,Hombre,No,Medio,3,3,3,1,No Car,"ROCK, RAP",Si,,Si
110,Ingeniería Electrónica,9:00:00,17:00:00,Hombre,No,Extrovertido,1,5,4,3,No Car,NO_PREF,Si,,Si
112,Administración de Empresas,18:30:00,21:30:00,Mujer,No,Medio,10,4,1,6,No Car,NO_PREF,Si,,Si
113,Administración de Empresas,19:00:00,22:00:00,Mujer,No,Medio,1,1,1,1,Car,"POP, REGGAETON",Si,Si,
114,Ciencias Contables,18:00:00,22:00:00,Hombre,No,Extrovertido,1,1,1,1,No Car,CUMBIA,Si,,Si
115,Economía,18:30:00,22:00:00,Hombre,No,Extrovertido,1,1,1,1,No Car,NO_PREF,Si,,Si
116,Arquitectura,8:00:00,18:00:00,Mujer,No,Extrovertido,5,1,1,1,Car,"NO_PREF, REGGAE, REGGAETON, TRAP, FUNK",Si,Si,
117,Arquitectura,7:30:00,16:00:00,Mujer,No,Extrovertido,7,6,8,1,Car,NO_PREF,Si,Si,
118,Ingeniería Civil,9:00:00,18:30:00,Hombre,No,Extrovertido,5,7,5,3,No Car,NO_PREF,Si,,Si
120,Ingeniería Industrial,7:30:00,11:00:00,Mujer,No,Medio,2,3,2,2,No Car,NO_PREF,Si,,Si
121,Ingeniería Civil,9:00:00,14:00:00,Mujer,No,Extrovertido,1,1,2,8,No Car,NO_PREF,Si,,Si
122,Ingeniería Ambiental,9:10:00,18:00:00,Mujer,No,Extrovertido,5,1,1,1,Car,"POP, ROCK, RAP, REGGAE, CUMBIA, REGGAETON, TRAP",Si,Si,
123,Análisis de Sistema,18:00:00,21:45:00,Hombre,No,Medio,1,1,3,1,Car,"POP, ROCK, RAP, REGGAETON, TRAP",Si,Si,
124,Ingeniería Ambiental,9:00:00,16:00:00,Mujer,Si,Medio,1,6,1,1,No Car,"POP, TECHNO, ELECTRONIC, REGGAE, REGGAETON",Si,,Si
125,Ciencias Contables,18:30:00,21:30:00,Mujer,No,Medio,10,5,5,8,Car,NO_PREF,Si,Si,
126,Economía,18:30:00,22:00:00,Hombre,Si,Medio,1,8,2,1,Car,NO_PREF,Si,Si,
127,Economía,18:30:00,21:30:00,Mujer,No,Medio,5,5,7,5,No Car,NO_PREF,Si,,Si
128,Ingeniería Industrial,10:40:00,16:00:00,Hombre,No,Medio,10,10,10,10,No Car,NO_PREF,Si,,Si
132,Nutrición,12:30:00,17:00:00,Mujer,No,Medio,5,5,1,1,No Car,"POP, REGGAETON, TRAP",Si,,Si
133,Economía,19:00:00,22:00:00,Hombre,No,Medio,5,1,1,1,Car,NO_PREF,Si,Si,
134,Nutrición,12:30:00,17:00:00,Mujer,No,Medio,10,5,5,2,No Car,POP,Si,,Si
135,Nutrición,12:30:00,16:00:00,Hombre,No,Medio,1,1,1,1,No Car,"NO_PREF, POP, ROCK, RAP, REGGAE, REGGAETON, TRAP",Si,,Si
137,Ciencias Contables,18:30:00,22:00:00,Mujer,No,Medio,3,1,1,1,Car,POP,No,No,
138,Ingeniería Civil,13:00:00,17:00:00,Hombre,No,Extrovertido,5,2,2,2,No Car,"ROCK, RAP, TRAP",Si,,Si
139,Ingeniería Industrial,10:30:00,22:00:00,Mujer,No,Medio,4,3,1,2,No Car,NO_PREF,Si,,Si
140,Diseño Industrial,18:00:00,22:00:00,Mujer,No,Medio,5,5,5,5,Car,NO_PREF,Si,Si,
141,Arquitectura,8:00:00,17:30:00,Mujer,No,Extrovertido,8,1,1,1,Car,NO_PREF,Si,Si,
142,Ingeniería Civil,13:00:00,19:00:00,Mujer,No,Medio,5,6,6,1,Car,NO_PREF,Si,Si,
143,Ingeniería Civil,13:00:00,17:00:00,Mujer,No,Medio,3,1,1,1,No Car,"REGGAETON, TRAP",Si,,Si
144,Ingeniería Civil,9:00:00,17:00:00,Mujer,No,Extrovertido,4,3,1,1,No Car,"POP, ROCK, REGGAETON",Si,,Si
145,Arquitectura,9:00:00,18:00:00,Mujer,No,Extrovertido,8,5,1,4,Car,NO_PREF,Si,Si,
146,Ingeniería Civil,9:00:00,17:00:00,Hombre,Si,Medio,1,3,1,1,No Car,NO_PREF,Si,,Si
147,Análisis de Sistema,18:00:00,21:30:00,Hombre,No,Medio,1,3,1,1,No Car,"POP, TECHNO, ELECTRONIC, ROCK, METAL, RAP, REGGAE, TRAP",Si,,Si
148,Ingeniería Civil,10:00:00,18:00:00,Mujer,No,Medio,10,5,4,5,Car,NO_PREF,Si,Si,
149,Ingeniería Civil,13:00:00,19:00:00,Mujer,No,Medio,1,4,1,1,No Car,NO_PREF,Si,,Si
150,Ingeniería Industrial,7:30:00,15:00:00,Hombre,No,Extrovertido,6,9,1,1,Car,NO_PREF,Si,Si,
152,Ingeniería Electrónica,8:00:00,16:00:00,Hombre,No,Extrovertido,1,1,1,1,No Car,NO_PREF,Si,,Si
153,Ingeniería Civil,7:30:00,19:00:00,Mujer,No,Medio,10,6,5,4,Car,NO_PREF,No,No,
155,Arquitectura,13:00:00,19:00:00,Mujer,No,Medio,10,2,2,2,Car,"POP, TECHNO, ELECTRONIC, ROCK, METAL, RAP, REGGAETON",Si,Si,
156,Ingeniería Civil,8:00:00,17:00:00,Hombre,No,Extrovertido,10,6,1,1,No Car,NO_PREF,Si,,Si
157,Análisis de Sistema,18:15:00,22:00:00,Hombre,No,Medio,8,5,1,1,Car,NO_PREF,Si,Si,
158,Ingeniería Civil,13:00:00,18:00:00,Mujer,No,Medio,5,1,1,6,No Car,NO_PREF,Si,,Si
159,Ingeniería Civil,13:00:00,18:00:00,Mujer,No,Medio,1,1,1,1,No Car,NO_PREF,Si,,Si
160,Ingeniería Civil,13:00:00,17:45:00,Hombre,No,Medio,8,4,1,1,Car,NO_PREF,Si,Si,
161,Diseño Gráfico,17:30:00,22:00:00,Hombre,Si,Extrovertido,2,6,6,6,Car,"POP, TECHNO, ELECTRONIC, RAP, REGGAETON, TRAP",No,No,
162,Ingeniería Ambiental,10:45:00,18:00:00,Mujer,No,Medio,10,5,6,9,Car,"POP, ROCK, REGGAE, CUMBIA, REGGAETON, TRAP",Si,Si,
163,Arquitectura,15:00:00,19:00:00,Mujer,No,Extrovertido,5,7,1,1,No Car,"POP, TECHNO, ELECTRONIC, ROCK",Si,,Si
164,Arquitectura,9:00:00,18:00:00,Mujer,No,Medio,1,5,3,4,Car,"POP, RAP, REGGAETON, TRAP",Si,Si,
165,Ingeniería Civil,13:00:00,19:00:00,Mujer,No,Extrovertido,8,1,1,1,No Car,NO_PREF,Si,,Si
166,Ingeniería Civil,13:00:00,18:00:00,Mujer,No,Medio,10,6,1,3,Car,"NO_PREF, POP, RAP, REGGAE",Si,Si,
167,Nutrición,11:00:00,17:00:00,Mujer,No,Medio,10,8,8,10,Car,NO_PREF,Si,Si,
168,Ciencias Contables,18:30:00,22:10:00,Mujer,No,Medio,1,1,1,1,No Car,NO_PREF,Si,,Si
169,Ingeniería Civil,7:30:00,16:00:00,Mujer,No,Medio,1,5,1,1,Car,NO_PREF,Si,Si,
170,Arquitectura,8:00:00,17:00:00,Mujer,No,Medio,3,5,5,1,Car,"POP, ELECTRONIC, REGGAETON, TRAP",Si,Si,
171,Ingeniería Civil,13:30:00,18:00:00,Hombre,No,Medio,1,5,5,6,Car,"ROCK, REGGAE, REGGAETON, TRAP",Si,Si,
172,Administración de Empresas,19:00:00,22:15:00,Mujer,No,Medio,2,1,1,1,Car,NO_PREF,Si,Si,
174,Ingeniería Civil,7:30:00,21:00:00,Mujer,No,Extrovertido,3,2,1,1,No Car,NO_PREF,Si,,Si
175,Arquitectura,13:00:00,18:30:00,Hombre,Si,Medio,3,4,3,3,Car,NO_PREF,Si,Si,
176,Ciencias Contables,19:00:00,22:00:00,Mujer,No,Medio,8,1,7,9,Car,POP,Si,Si,
178,Comercio Internacional,19:00:00,22:00:00,Hombre,No,Medio,4,4,2,1,Car,"NO_PREF, TECHNO, ELECTRONIC, REGGAETON",Si,Si,
179,Ingeniería Civil,14:00:00,18:00:00,Mujer,No,Medio,9,6,5,2,Car,NO_PREF,Si,Si,
180,Ingeniería Civil,7:30:00,16:45:00,Mujer,No,Medio,3,1,1,1,No Car,NO_PREF,Si,,Si
181,Medicina,7:30:00,17:00:00,Mujer,No,Medio,7,5,1,1,Car,NO_PREF,No,No,
182,Ciencias Contables,18:40:00,22:00:00,Mujer,No,Medio,1,1,1,1,Car,NO_PREF,Si,Si,
183,Medicina,7:30:00,12:00:00,Mujer,No,Extrovertido,5,1,1,1,No Car,NO_PREF,Si,,Si
185,Ingeniería Industrial,9:00:00,18:00:00,Mujer,No,Medio,7,1,1,2,No Car,NO_PREF,Si,,Si
187,Ingeniería Industrial,10:40:00,18:00:00,Hombre,No,Medio,1,1,3,1,No Car,NO_PREF,Si,,Si
188,Ingeniería Industrial,8:00:00,20:00:00,Mujer,Si,Extrovertido,4,9,10,1,No Car,"POP, ROCK, REGGAETON",Si,,Si
189,Marketing,18:30:00,22:00:00,Hombre,No,Extrovertido,1,1,1,1,No Car,NO_PREF,Si,,Si
191,Medicina,7:30:00,12:30:00,Mujer,Si,Extrovertido,1,5,1,7,No Car,NO_PREF,Si,,Si
192,Administración de Empresas,19:00:00,21:50:00,Hombre,Si,Medio,1,5,4,1,Car,"NO_PREF, POP, REGGAETON",Si,Si,
193,Medicina,7:30:00,14:00:00,Mujer,No,Extrovertido,3,7,6,2,Car,"POP, ROCK",Si,Si,
194,Economía,18:20:00,22:00:00,Hombre,No,Extrovertido,3,5,5,1,Car,"REGGAETON, TRAP, SILENCE",Si,Si,
195,Ingeniería Civil,8:00:00,14:00:00,Hombre,No,Extrovertido,4,6,2,1,Car,NO_PREF,Si,Si,
196,Economía,18:50:00,21:50:00,Hombre,No,Medio,1,1,4,1,No Car,NO_PREF,Si,,Si
197,Ingeniería Electrónica,13:00:00,19:00:00,Mujer,No,Introvertido,3,5,6,2,Car,"POP, TECHNO, ELECTRONIC, ROCK, REGGAE",No,No,
199,Economía,8:00:00,12:00:00,Hombre,No,Medio,3,5,2,1,Car,SILENCE,No,No,
200,Administración de Empresas,18:30:00,22:00:00,Hombre,No,Extrovertido,10,10,9,10,Car,"NO_PREF, REGGAETON",Si,Si,
201,Ingeniería Civil,10:45:00,17:00:00,Mujer,No,Extrovertido,5,7,10,1,Car,REGGAETON,Si,Si,
202,Ingeniería Informática,13:00:00,14:30:00,Hombre,No,Extrovertido,8,1,1,1,Car,NO_PREF,Si,Si,
203,Ingeniería Electrónica,13:00:00,17:00:00,Mujer,No,Medio,6,1,1,1,Car,"NO_PREF, POP, ROCK, RAP, REGGAE, REGGAETON, TRAP",Si,Si,
205,Ingeniería Civil,9:00:00,19:00:00,Mujer,No,Medio,5,7,1,1,No Car,NO_PREF,Si,,Si
206,Comercio Internacional,18:30:00,22:00:00,Hombre,No,Extrovertido,5,7,4,6,No Car,NO_PREF,Si,,Si
207,Comercio Internacional,18:30:00,22:15:00,Mujer,No,Extrovertido,5,3,3,1,Car,"POP, ELECTRONIC, REGGAETON",Si,Si,
208,Ingeniería Civil,14:00:00,18:00:00,Hombre,No,Extrovertido,1,1,1,1,Car,NO_PREF,Si,Si,
209,Economía,18:30:00,22:00:00,Mujer,No,Medio,5,3,1,4,No Car,NO_PREF,Si,,Si
211,Arquitectura,13:00:00,13:30:00,Mujer,No,Medio,9,5,1,2,Car,NO_PREF,Si,Si,
213,Marketing,18:30:00,21:40:00,Mujer,No,Medio,10,1,6,1,Car,"POP, ROCK, RAP",Si,Si,
215,Ingeniería Industrial,7:40:00,12:15:00,Hombre,No,Medio,1,1,1,1,No Car,ROCK,Si,,Si
218,Ingeniería Electrónica,7:30:00,16:00:00,Hombre,No,Medio,1,3,1,1,No Car,SILENCE,Si,,Si
220,Ingeniería Civil,7:30:00,16:00:00,Hombre,Si,Extrovertido,1,8,1,1,Car,"NO_PREF, POP, ROCK, RAP, REGGAETON, TRAP",Si,Si,
221,Marketing,18:00:00,22:15:00,Mujer,Si,Extrovertido,1,5,8,1,Car,"POP, REGGAETON",Si,Si,
223,Medicina,7:30:00,12:00:00,Mujer,No,Medio,10,5,1,1,No Car,POP,Si,,Si
224,Fonoaudiología,7:30:00,12:00:00,Mujer,No,Medio,5,1,1,1,Car,NO_PREF,Si,Si,
225,Medicina,7:30:00,15:00:00,Hombre,No,Medio,8,3,1,1,Car,"POP, TECHNO, ELECTRONIC, ROCK, REGGAE",Si,Si,
227,Ingeniería Civil,13:00:00,17:00:00,Hombre,No,Extrovertido,1,1,1,1,Car,NO_PREF,Si,Si,
228,Análisis de Sistema,17:50:00,22:00:00,Mujer,No,Introvertido,1,1,1,1,No Car,POP,Si,,Si
229,Fonoaudiología,7:30:00,11:30:00,Mujer,No,Medio,10,10,1,1,Car,NO_PREF,No,No,
231,Administración de Empresas,18:00:00,21:30:00,Hombre,No,Medio,5,7,3,1,No Car,NO_PREF,Si,,Si
232,Ciencias Contables,19:00:00,22:10:00,Mujer,No,Extrovertido,1,1,1,1,No Car,NO_PREF,Si,,Si
233,Medicina,15:08:00,21:25:00,Hombre,No,Extrovertido,10,9,1,1,Car,NO_PREF,No,No,
235,Arquitectura,7:15:00,18:30:00,Mujer,No,Medio,1,6,6,2,No Car,"RAP, REGGAETON",No,,No
236,Ingeniería Civil,13:00:00,18:00:00,Mujer,No,Medio,8,4,6,8,No Car,SILENCE,No,,No
239,Medicina,7:30:00,17:30:00,Mujer,No,Medio,7,7,3,5,No Car,POP,Si,,Si
240,Ingeniería Civil,7:00:00,13:50:00,Mujer,No,Extrovertido,1,1,1,1,No Car,NO_PREF,Si,,Si
241,Marketing,18:30:00,22:00:00,Mujer,Si,Extrovertido,10,10,10,6,Car,NO_PREF,Si,Si,
242,Medicina,7:30:00,12:00:00,Hombre,No,Extrovertido,10,1,5,5,Car,"POP, ROCK, REGGAE",Si,Si,
243,Administración de Empresas,19:00:00,22:00:00,Hombre,No,Extrovertido,1,5,5,1,Car,NO_PREF,Si,Si,
244,Marketing,18:30:00,22:00:00,Mujer,No,Medio,4,8,3,1,No Car,POP,Si,,Si
245,Arquitectura,8:00:00,17:00:00,Mujer,No,Extrovertido,6,10,1,1,Car,NO_PREF,Si,Si,
246,Arquitectura,8:30:00,17:00:00,Mujer,No,Extrovertido,10,5,5,5,No Car,"POP, REGGAETON",Si,,Si
247,Ingeniería Civil,7:30:00,14:30:00,Hombre,No,Medio,10,1,1,1,Car,NO_PREF,No,No,
248,Fonoaudiología,7:30:00,18:30:00,Mujer,No,Medio,10,10,10,1,No Car,"REGGAETON, FUNK",No,,No
249,Fonoaudiología,7:30:00,11:00:00,Mujer,No,Medio,10,2,5,8,Car,NO_PREF,Si,Si,
250,Arquitectura,8:00:00,17:00:00,Hombre,No,Medio,10,7,8,1,Car,NO_PREF,Si,Si,
